,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
7250,7251,A,Road,5,1,177,2,medium,M,9,4881
3950,3951,A,Road,4,3,270,2,low,M,7,5814
10491,10492,B,Ship,4,5,248,3,low,M,7,5853
9793,9794,F,Ship,3,4,226,3,low,F,7,4411
8141,8142,F,Ship,3,5,243,3,medium,F,4,4130
6066,6067,D,Ship,5,1,267,4,low,M,5,4440
8310,8311,D,Ship,6,3,264,4,medium,M,5,1397
7402,7403,C,Flight,6,3,306,4,low,F,5,1490
9254,9255,A,Ship,3,3,258,3,medium,F,7,4068
926,927,A,Ship,3,1,210,2,low,F,52,2444
7524,7525,D,Road,4,3,165,2,medium,M,10,4351
15,16,B,Flight,4,3,227,3,low,F,45,2707
143,144,F,Flight,2,1,205,4,medium,F,63,2156
2363,2364,F,Ship,5,5,141,2,medium,M,14,1114
129,130,B,Road,4,5,224,4,medium,M,21,2026
1161,1162,B,Ship,5,2,167,8,low,M,28,1921
7145,7146,F,Ship,5,4,243,5,low,F,2,1637
7444,7445,C,Ship,3,1,223,7,high,M,5,4439
7981,7982,F,Ship,4,4,218,2,medium,M,3,5039
6289,6290,F,Road,6,5,309,4,low,M,6,1463
6145,6146,F,Road,3,5,193,3,medium,F,6,5302
5458,5459,C,Road,5,2,205,3,low,F,3,5182
8995,8996,F,Ship,5,3,232,3,medium,M,3,4526
5308,5309,C,Ship,3,3,207,3,low,M,7,4816
1876,1877,C,Ship,3,4,188,3,medium,F,49,3221
2488,2489,C,Ship,3,4,269,3,medium,F,21,3716
5790,5791,D,Ship,7,4,285,4,medium,F,2,1017
4479,4480,B,Ship,4,5,189,2,medium,M,6,5439
1182,1183,D,Ship,3,3,140,2,medium,M,55,1847
7452,7453,D,Ship,7,4,295,4,low,F,10,1217
10921,10922,F,Ship,5,1,234,5,medium,F,9,1932
1170,1171,D,Ship,5,1,198,5,medium,F,49,3187
7493,7494,F,Ship,3,3,239,3,low,F,4,1399
2182,2183,C,Road,3,4,167,3,medium,M,50,1068
5549,5550,F,Ship,3,4,168,2,medium,M,9,5235
3371,3372,F,Ship,4,3,270,2,high,F,5,5346
8937,8938,B,Ship,6,4,296,4,medium,M,5,1782
1859,1860,F,Ship,2,5,170,8,low,M,14,1396
5924,5925,A,Ship,4,2,272,2,low,F,1,5939
5843,5844,F,Ship,4,5,134,6,medium,M,7,4881
7503,7504,B,Ship,4,2,265,5,low,M,8,1555
7724,7725,A,Ship,6,1,247,4,low,F,4,1623
7998,7999,D,Ship,6,4,276,4,low,F,2,1120
3588,3589,D,Ship,4,3,185,10,high,M,1,4973
6858,6859,D,Flight,3,1,237,3,medium,F,1,4476
3121,3122,F,Ship,4,1,182,3,medium,F,49,3198
387,388,B,Road,5,2,173,3,low,F,7,1855
1311,1312,B,Ship,3,4,161,3,low,F,25,1048
1032,1033,D,Ship,5,4,254,5,low,F,36,2039
8827,8828,F,Ship,4,3,246,5,low,M,7,1134
10752,10753,D,Ship,5,1,260,5,low,M,4,1257
4936,4937,C,Flight,5,2,198,3,low,F,7,5768
931,932,F,Ship,3,2,135,3,low,M,27,1898
6037,6038,F,Flight,6,2,293,4,low,F,4,1764
4019,4020,F,Ship,3,5,226,3,low,M,8,5203
691,692,F,Flight,5,5,140,3,high,F,42,1384
6705,6706,B,Road,2,5,127,3,medium,F,3,5964
8099,8100,F,Flight,5,1,282,5,low,M,6,5182
829,830,F,Flight,5,4,223,3,low,F,40,2074
3498,3499,D,Ship,3,1,152,2,medium,F,2,4136
2081,2082,F,Ship,3,1,254,2,high,F,60,3590
9818,9819,A,Ship,3,1,144,2,medium,M,8,5378
10394,10395,A,Road,4,1,170,10,medium,F,3,5211
44,45,A,Ship,3,1,151,2,low,M,29,1328
3939,3940,B,Ship,4,5,139,3,medium,M,5,5126
6423,6424,B,Road,4,3,149,4,medium,M,1,4678
8043,8044,B,Ship,6,1,138,3,low,M,6,1604
4319,4320,F,Ship,3,5,133,3,medium,F,4,5902
2965,2966,F,Ship,3,5,126,2,low,F,29,1192
3969,3970,B,Flight,4,5,214,3,high,F,1,4004
1187,1188,F,Ship,6,5,154,10,medium,F,14,1204
9868,9869,C,Flight,2,4,285,3,high,M,6,4427
6482,6483,A,Ship,3,2,177,3,medium,M,8,5006
284,285,A,Flight,5,5,230,3,low,F,32,3249
9779,9780,F,Ship,5,5,251,2,high,F,3,4741
4159,4160,F,Ship,3,3,134,4,medium,M,7,5370
3092,3093,A,Ship,3,1,238,6,medium,F,59,3375
6953,6954,F,Ship,3,1,207,2,low,F,7,5596
4556,4557,A,Ship,6,5,264,4,low,M,6,1005
5583,5584,B,Ship,4,4,134,2,low,M,1,5209
4323,4324,B,Ship,3,4,268,2,medium,M,8,1991
6717,6718,B,Flight,4,3,204,3,medium,M,2,5010
6501,6502,B,Ship,5,2,231,5,low,F,4,1913
3364,3365,C,Ship,2,1,180,3,low,M,2,4615
1404,1405,D,Ship,4,3,150,2,low,M,51,1491
3195,3196,B,Ship,6,4,161,4,medium,M,3,1747
6263,6264,F,Ship,7,2,276,4,low,M,9,1022
969,970,B,Flight,2,1,121,2,medium,F,18,1839
3734,3735,A,Ship,4,5,185,3,low,F,2,4336
925,926,F,Ship,5,3,217,3,high,F,61,3067
10455,10456,B,Ship,5,1,263,6,low,F,3,1665
8198,8199,A,Road,4,2,148,2,low,M,5,4031
4725,4726,B,Ship,4,1,194,3,medium,F,6,5282
10916,10917,A,Ship,5,1,224,5,low,M,1,1600
2851,2852,F,Road,4,1,207,2,low,M,2,3242
9089,9090,F,Ship,7,1,308,4,medium,F,2,1504
6321,6322,B,Ship,4,3,208,2,medium,F,4,4767
7456,7457,C,Ship,6,4,306,4,low,F,5,1703
9771,9772,B,Ship,3,5,211,2,low,F,5,5877
8811,8812,B,Ship,6,1,189,3,medium,F,9,5316
4471,4472,F,Ship,5,5,168,3,low,F,6,4088
6280,6281,C,Road,6,3,298,4,low,F,1,1657
4348,4349,C,Ship,3,2,139,5,low,M,8,4595
9892,9893,C,Ship,4,1,171,2,medium,F,10,4536
8860,8861,C,Ship,7,1,307,4,low,M,4,1371
3626,3627,A,Ship,4,3,227,3,medium,F,10,5491
1789,1790,F,Flight,5,2,231,4,medium,M,41,2992
9383,9384,F,Ship,5,4,157,7,medium,M,3,4723
2059,2060,F,Flight,5,2,265,3,medium,F,33,2734
8330,8331,A,Road,6,5,308,4,low,M,8,1569
5758,5759,C,Flight,5,1,287,4,low,F,4,1579
4013,4014,F,Ship,4,5,237,2,medium,F,10,4963
1902,1903,D,Road,3,5,271,4,low,M,51,1134
4686,4687,D,Ship,4,2,190,6,high,M,5,4139
6802,6803,C,Ship,4,2,173,3,high,F,3,5364
4922,4923,A,Road,3,1,209,2,high,F,1,5779
8309,8310,F,Ship,5,5,256,5,low,F,10,1333
75,76,B,Ship,4,1,266,3,low,F,23,3775
2345,2346,F,Flight,4,5,216,3,low,F,20,3549
6691,6692,F,Road,6,1,259,3,low,F,3,5683
430,431,C,Ship,5,5,208,3,low,F,45,2018
4586,4587,A,Ship,3,1,145,3,high,F,10,4364
5483,5484,F,Flight,3,4,252,4,low,F,10,5495
9950,9951,A,Ship,5,2,238,5,low,F,4,1962
6147,6148,B,Road,2,1,185,6,medium,F,7,4138
9943,9944,F,Ship,6,2,307,4,low,F,9,1674
8999,9000,F,Ship,5,1,189,2,medium,M,10,5248
8460,8461,D,Ship,3,5,167,2,medium,F,8,5083
1553,1554,F,Ship,4,2,190,2,medium,F,6,3595
240,241,D,Ship,4,5,270,4,low,M,65,1818
783,784,B,Ship,3,3,140,4,low,F,47,1207
10970,10971,A,Flight,4,4,216,6,low,M,5,1272
3066,3067,D,Ship,3,4,158,3,high,M,41,1137
977,978,F,Ship,4,5,223,3,medium,F,63,2427
4905,4906,B,Road,3,2,162,3,medium,M,6,4505
2941,2942,F,Ship,2,3,160,4,low,F,53,1850
5768,5769,A,Flight,6,4,266,4,low,M,3,1503
6562,6563,C,Road,4,3,256,5,low,F,5,1533
5762,5763,A,Flight,6,3,245,4,low,M,2,1158
6611,6612,F,Ship,7,1,244,4,low,M,8,1817
1620,1621,D,Road,4,1,270,3,medium,F,64,2406
7731,7732,B,Ship,5,4,217,5,high,F,3,1007
2146,2147,C,Ship,3,3,133,6,low,F,10,1686
1801,1802,F,Ship,3,1,195,3,high,M,5,3251
2095,2096,F,Ship,3,4,153,2,medium,M,37,1740
7383,7384,B,Road,5,4,145,6,medium,M,6,4403
8917,8918,F,Flight,5,5,269,5,low,M,5,1742
1357,1358,F,Road,5,1,184,4,medium,F,38,2232
8950,8951,C,Ship,5,4,208,2,low,M,9,4569
7356,7357,D,Ship,3,1,201,3,low,F,6,4953
9209,9210,F,Ship,5,3,227,5,medium,F,9,4990
5830,5831,C,Ship,3,1,133,3,medium,M,8,4634
9083,9084,F,Ship,4,5,233,3,medium,F,7,5604
7317,7318,B,Ship,3,5,180,4,low,F,9,5105
10920,10921,D,Ship,4,4,257,5,medium,F,9,1869
9666,9667,D,Ship,7,5,256,4,medium,F,2,1396
8697,8698,B,Ship,5,4,252,3,medium,M,2,4162
1609,1610,F,Ship,5,1,258,2,medium,F,22,3713
3096,3097,D,Ship,2,3,188,2,high,M,25,2033
6753,6754,B,Ship,2,4,195,4,medium,M,3,5641
2415,2416,B,Ship,5,2,207,2,low,F,35,2184
2017,2018,F,Ship,3,1,231,2,low,F,12,2123
7318,7319,C,Ship,5,2,158,3,medium,M,2,5221
4125,4126,B,Flight,3,5,230,4,medium,F,2,5916
5375,5376,F,Ship,3,5,271,4,low,M,3,5831
10783,10784,F,Ship,5,1,247,5,medium,F,8,1842
10549,10550,F,Flight,6,2,205,5,high,M,6,4756
3246,3247,D,Ship,4,1,189,3,medium,M,5,4496
124,125,C,Road,5,5,222,3,low,M,10,2280
7802,7803,A,Road,5,3,201,2,low,F,1,4548
10282,10283,C,Flight,5,4,248,3,low,M,7,5335
10544,10545,A,Flight,4,1,195,2,low,F,3,4165
840,841,D,Ship,3,1,232,3,low,M,9,2958
10083,10084,B,Ship,5,1,233,3,low,F,6,5560
3341,3342,F,Ship,5,4,147,4,medium,M,6,4369
598,599,C,Ship,4,5,270,2,low,F,34,2821
2123,2124,F,Ship,3,2,238,2,low,F,29,3728
5512,5513,C,Ship,6,5,266,4,medium,F,6,1312
7268,7269,A,Flight,3,4,230,3,medium,F,7,5891
8678,8679,A,Ship,3,1,198,3,low,M,3,4965
7625,7626,F,Ship,5,1,134,2,low,F,7,5610
8382,8383,D,Ship,4,3,173,4,low,M,9,5672
10635,10636,B,Ship,4,2,205,2,medium,M,10,4641
2197,2198,F,Flight,3,3,163,3,medium,F,65,1614
4051,4052,F,Ship,6,3,144,7,high,F,8,5646
7361,7362,F,Ship,4,3,157,3,medium,M,9,4990
3362,3363,A,Ship,3,2,206,3,high,F,1,4431
2501,2502,F,Ship,2,1,252,2,low,M,35,2526
725,726,F,Ship,3,4,207,7,medium,F,46,2670
9125,9126,F,Ship,2,4,204,10,low,F,4,4679
978,979,D,Ship,3,3,267,2,low,F,52,2949
808,809,C,Road,4,5,163,5,low,M,24,1658
6178,6179,C,Flight,6,3,275,6,low,M,4,4875
1475,1476,F,Ship,4,3,271,3,low,M,59,2996
8277,8278,B,Ship,3,1,224,3,low,F,1,4862
5729,5730,F,Road,4,5,175,3,medium,F,5,4194
6749,6750,F,Ship,5,3,173,3,low,M,5,5395
4906,4907,C,Road,3,1,223,3,low,M,8,5318
10884,10885,D,Ship,4,4,221,3,medium,M,5,4024
9952,9953,C,Ship,7,4,284,4,low,M,3,1751
4930,4931,C,Flight,2,2,264,3,medium,M,1,4518
4542,4543,D,Ship,5,1,275,4,medium,F,6,1569
3962,3963,A,Road,3,4,186,3,medium,M,7,4536
7799,7800,F,Road,3,5,234,2,medium,F,1,4455
5980,5981,C,Ship,3,3,164,3,high,M,8,5170
1235,1236,F,Flight,3,2,169,2,medium,F,19,1922
1225,1226,F,Road,3,1,135,2,medium,M,7,1316
1764,1765,D,Road,2,1,167,2,low,M,46,1023
7620,7621,D,Ship,2,3,206,4,medium,F,2,5443
10681,10682,F,Flight,5,4,151,3,low,F,4,5522
6209,6210,F,Ship,4,3,273,10,medium,M,6,4251
5719,5720,F,Ship,3,1,239,8,high,M,6,5023
3217,3218,F,Ship,4,1,164,4,low,M,6,4432
287,288,F,Flight,4,4,149,3,low,M,34,1977
6662,6663,A,Ship,4,1,200,4,medium,M,3,5837
2966,2967,A,Ship,4,1,222,4,medium,F,42,2762
3164,3165,A,Flight,4,4,225,5,low,M,5,5060
7297,7298,F,Ship,5,5,104,4,high,F,9,5652
9794,9795,A,Ship,5,1,226,2,medium,M,6,5395
1657,1658,F,Flight,4,5,236,7,medium,F,44,3808
1975,1976,F,Ship,3,1,187,2,high,M,56,3774
2397,2398,B,Ship,3,3,139,2,low,M,9,1177
452,453,A,Ship,3,2,157,2,medium,M,53,1390
2710,2711,C,Ship,3,1,181,3,medium,M,29,2981
5718,5719,D,Ship,4,3,236,3,low,M,4,4257
3681,3682,B,Road,4,2,186,3,low,M,6,4524
422,423,A,Flight,3,2,141,3,low,M,7,1933
7918,7919,C,Ship,5,1,182,2,low,M,6,4121
5316,5317,D,Road,4,3,227,2,low,M,3,4375
657,658,B,Ship,3,1,242,3,medium,F,10,3606
3301,3302,F,Flight,4,5,205,3,medium,M,5,4949
9929,9930,F,Ship,6,2,282,4,medium,M,6,1674
2845,2846,F,Ship,4,5,146,3,low,F,9,1685
9119,9120,F,Ship,4,1,225,2,medium,M,5,5714
8643,8644,B,Flight,6,4,303,5,low,M,5,1195
5244,5245,D,Ship,4,2,184,3,low,M,10,4931
1001,1002,F,Ship,3,1,181,3,medium,M,22,3266
4198,4199,C,Ship,4,3,200,4,medium,F,7,4953
2418,2419,D,Ship,5,2,96,2,low,F,50,1186
875,876,F,Ship,4,1,222,3,medium,M,45,3158
9136,9137,C,Ship,7,3,305,4,medium,F,6,1167
3847,3848,F,Flight,4,3,206,4,low,M,1,4596
961,962,F,Flight,3,3,179,2,low,F,62,1765
1580,1581,A,Ship,3,5,270,5,low,M,31,3737
9009,9010,B,Ship,3,5,204,4,low,M,6,4879
2206,2207,C,Flight,2,1,111,3,medium,M,16,1882
7670,7671,A,Flight,6,4,284,4,low,F,9,1436
8928,8929,D,Ship,5,5,265,6,low,M,4,1937
10911,10912,B,Ship,4,5,227,10,low,M,7,4403
4231,4232,F,Road,4,5,194,2,low,F,1,5300
757,758,F,Ship,4,1,224,2,low,M,8,3638
4866,4867,D,Ship,4,3,158,5,medium,F,7,4344
5406,5407,D,Ship,4,3,161,2,medium,M,3,4391
5313,5314,B,Ship,4,2,256,4,medium,M,4,5469
2284,2285,C,Ship,6,3,134,8,high,F,12,1371
8104,8105,C,Ship,2,2,219,2,medium,M,8,4518
5792,5793,A,Ship,5,1,240,5,medium,M,1,1200
5507,5508,F,Ship,7,1,296,4,low,M,4,1446
5309,5310,F,Ship,3,4,243,3,medium,M,8,5705
4827,4828,B,Ship,3,2,109,3,low,M,4,5746
6159,6160,B,Road,3,4,153,2,medium,M,5,4023
807,808,B,Road,2,4,136,6,low,F,53,1213
7209,7210,B,Ship,6,3,265,5,medium,M,10,1897
8770,8771,C,Flight,3,4,251,3,medium,M,5,5608
1956,1957,D,Ship,4,1,224,3,low,M,27,3400
2445,2446,B,Road,4,3,216,3,medium,M,35,2567
7150,7151,C,Ship,5,5,274,5,low,M,7,1875
9004,9005,C,Ship,4,2,195,2,medium,M,10,4640
10649,10650,F,Ship,4,5,261,10,low,M,7,5208
9001,9002,F,Ship,3,3,200,3,low,M,3,5739
2402,2403,A,Ship,3,2,123,4,medium,F,7,1596
9198,9199,D,Ship,4,4,267,4,low,F,8,5219
1073,1074,F,Road,3,1,148,2,medium,M,34,1053
7976,7977,A,Ship,3,4,242,10,high,M,5,4127
4240,4241,C,Road,3,1,235,4,high,M,7,4833
5436,5437,D,Ship,4,5,253,2,low,M,8,5652
9366,9367,D,Ship,4,3,189,3,medium,F,4,5613
2091,2092,B,Ship,2,4,225,10,high,M,56,3384
4527,4528,B,Flight,3,1,174,6,medium,F,4,4910
1698,1699,D,Ship,4,4,204,2,low,M,29,2941
8229,8230,B,Flight,4,2,282,4,medium,M,5,5422
9242,9243,A,Ship,3,3,183,2,low,F,3,5189
8981,8982,F,Ship,4,4,184,3,low,F,10,5705
5756,5757,A,Flight,6,1,266,4,medium,F,2,1862
8260,8261,C,Ship,6,5,264,4,medium,F,9,1922
1003,1004,F,Ship,3,3,254,3,medium,M,3,2837
10018,10019,C,Ship,3,2,247,3,medium,M,8,5194
10490,10491,A,Ship,3,1,194,4,low,F,8,4308
6483,6484,B,Ship,4,1,251,4,low,M,3,4433
4651,4652,F,Road,3,2,193,3,low,F,7,5224
10846,10847,C,Ship,4,4,197,2,low,F,7,4684
1485,1486,B,Road,3,4,149,2,medium,F,37,1080
10196,10197,A,Ship,5,5,243,6,low,M,9,1348
5368,5369,C,Ship,3,4,175,2,medium,M,9,5643
1411,1412,F,Ship,3,2,240,6,low,F,26,2683
10385,10386,F,Road,5,5,272,2,low,F,4,5342
10003,10004,F,Flight,3,5,125,2,low,F,2,4182
9401,9402,F,Ship,6,3,276,4,low,F,8,1754
709,710,F,Ship,7,1,192,3,low,M,38,1372
6004,6005,C,Road,6,1,255,4,low,M,5,1253
3603,3604,B,Ship,4,2,275,6,medium,M,9,1890
985,986,F,Ship,6,1,172,6,high,F,50,1052
3076,3077,C,Ship,3,3,149,2,medium,M,7,1145
7185,7186,B,Ship,6,1,301,4,low,F,3,1200
5077,5078,F,Flight,3,2,200,4,medium,F,4,4918
4101,4102,B,Road,3,5,181,3,medium,M,9,4191
7439,7440,F,Ship,3,5,146,10,low,M,9,4128
2722,2723,C,Road,4,3,214,4,low,M,34,3446
10306,10307,C,Ship,4,2,174,3,low,M,4,5625
1268,1269,A,Ship,6,4,129,5,low,F,58,1463
2462,2463,A,Flight,5,2,224,4,medium,M,43,2336
6669,6670,B,Ship,3,1,266,5,low,M,1,5459
268,269,C,Road,3,5,241,3,low,F,21,3078
3580,3581,C,Ship,2,3,154,3,medium,M,3,4478
4750,4751,C,Ship,5,4,272,2,low,F,1,5983
6533,6534,F,Ship,4,2,206,7,high,M,7,5479
6022,6023,C,Road,6,1,295,4,medium,F,6,1611
10610,10611,A,Ship,3,1,257,4,low,M,8,4692
9381,9382,B,Ship,5,3,242,4,medium,F,8,4410
2821,2822,F,Ship,3,1,141,2,low,F,4,1297
6637,6638,F,Ship,3,4,153,4,low,M,5,5604
589,590,F,Ship,3,2,178,2,medium,F,59,1933
7242,7243,D,Road,6,3,262,6,high,M,5,4506
9898,9899,C,Ship,2,1,285,3,high,F,7,4999
7698,7699,D,Ship,3,4,252,2,low,M,6,4630
8102,8103,A,Ship,5,3,113,3,medium,F,5,4743
8949,8950,B,Ship,5,1,241,3,low,M,7,5342
8732,8733,A,Ship,6,4,268,4,medium,M,5,4126
2037,2038,B,Road,4,1,280,3,medium,M,2,3366
9716,9717,A,Road,4,3,167,2,medium,F,1,5409
7658,7659,A,Road,5,3,216,10,medium,M,4,4409
8649,8650,B,Ship,7,5,273,4,medium,M,9,1329
2028,2029,D,Road,2,4,183,3,low,F,12,3090
8244,8245,D,Ship,4,1,144,4,low,F,10,4175
677,678,F,Road,6,4,160,2,low,F,31,1689
7757,7758,F,Ship,4,3,254,5,low,F,3,1248
1232,1233,A,Flight,4,2,166,3,low,M,5,1610
5454,5455,D,Road,5,5,132,2,high,F,1,4233
10203,10204,B,Ship,5,1,245,5,low,M,9,1694
8608,8609,C,Road,5,3,236,5,medium,M,10,1630
7219,7220,F,Ship,5,1,245,5,low,F,3,1956
4856,4857,A,Ship,4,5,245,3,low,F,7,4297
6653,6654,F,Ship,5,1,179,2,low,F,3,5417
2432,2433,A,Ship,4,4,189,4,high,F,56,2646
7677,7678,B,Flight,6,3,269,4,medium,F,3,1022
7432,7433,C,Ship,5,2,254,2,low,F,5,4985
7337,7338,F,Ship,3,1,207,4,low,M,9,4252
7580,7581,A,Ship,4,4,149,3,medium,M,6,5508
6162,6163,D,Flight,3,2,220,3,low,M,8,5032
896,897,A,Ship,4,2,162,2,low,M,16,1014
1611,1612,B,Ship,3,5,153,2,low,F,44,1585
8903,8904,F,Flight,6,5,308,4,low,F,7,1078
6452,6453,A,Flight,4,4,237,3,medium,M,4,4747
6726,6727,D,Flight,4,1,265,2,low,F,10,5418
1719,1720,B,Ship,3,2,243,3,medium,M,31,3943
3806,3807,A,Ship,3,2,156,8,medium,M,6,5637
7320,7321,D,Ship,5,4,273,6,medium,F,7,4058
6760,6761,C,Ship,4,2,233,2,low,M,7,5546
4701,4702,B,Ship,2,4,248,3,low,F,5,5441
3961,3962,F,Road,5,1,199,2,medium,M,7,4660
6615,6616,B,Ship,6,5,266,4,low,M,8,1709
5557,5558,F,Ship,5,1,178,2,low,F,5,4369
5564,5565,A,Ship,4,2,272,3,medium,F,1,4933
8563,8564,F,Ship,3,2,177,2,high,M,9,4648
890,891,A,Ship,3,4,266,2,high,F,33,3798
7653,7654,B,Road,4,5,180,2,medium,M,1,5622
9920,9921,A,Ship,6,4,284,4,low,F,7,1518
4006,4007,C,Ship,4,4,202,4,medium,M,4,4053
7261,7262,F,Flight,4,3,148,5,medium,M,2,4065
6215,6216,F,Ship,6,5,255,4,low,F,9,1113
8317,8318,F,Ship,5,3,245,5,low,F,10,1112
5819,5820,F,Ship,3,3,185,3,low,M,6,5995
8231,8232,F,Flight,4,2,256,4,low,F,7,5571
7018,7019,C,Ship,6,1,206,6,medium,F,8,4243
2799,2800,B,Ship,4,3,223,4,low,F,25,3148
10029,10030,B,Ship,3,4,239,4,medium,F,10,5455
584,585,A,Ship,3,3,163,2,medium,F,48,1369
3268,3269,C,Road,5,4,217,3,medium,F,8,4949
3932,3933,A,Ship,5,3,219,4,medium,M,5,4096
4965,4966,B,Ship,4,4,193,3,medium,M,8,4715
1260,1261,D,Ship,5,3,197,2,low,F,12,3400
9854,9855,A,Road,3,3,274,3,low,F,5,5981
310,311,C,Ship,3,4,193,2,medium,M,48,3909
1716,1717,D,Ship,6,1,222,5,medium,M,26,3137
7348,7349,C,Ship,4,2,187,2,medium,F,7,5524
7542,7543,D,Flight,6,3,226,3,high,F,4,4604
8448,8449,D,Ship,5,1,267,3,low,M,7,5789
4668,4669,D,Flight,5,2,133,2,high,F,2,4556
4298,4299,A,Ship,3,5,140,3,low,M,9,4733
3783,3784,B,Ship,3,3,201,10,high,M,10,5281
1008,1009,D,Ship,4,1,265,2,medium,M,18,3327
9194,9195,A,Flight,4,2,258,5,low,F,8,1878
2185,2186,F,Road,5,3,219,3,low,M,1,2027
3623,3624,F,Ship,3,3,155,3,low,F,3,5768
10767,10768,B,Ship,4,2,258,5,medium,F,1,1010
5999,6000,F,Ship,6,3,244,4,medium,M,5,1108
10647,10648,B,Ship,3,3,223,10,low,F,7,4273
7423,7424,F,Ship,4,2,184,3,low,M,3,1705
6761,6762,F,Ship,5,3,253,3,low,F,3,5944
4834,4835,C,Ship,3,3,153,3,medium,M,5,4578
7262,7263,A,Flight,5,2,240,2,medium,M,4,4447
4756,4757,C,Ship,6,5,265,4,low,M,7,1404
6188,6189,A,Ship,4,4,154,3,low,F,7,4106
90,91,D,Ship,5,3,174,6,high,F,41,1085
7263,7264,B,Flight,6,2,169,2,medium,M,9,5580
7793,7794,F,Road,3,5,241,3,low,F,5,4861
1326,1327,D,Ship,3,1,255,5,low,F,1,2713
6832,6833,C,Road,5,2,249,3,low,M,2,4696
8862,8863,D,Ship,4,5,239,5,low,M,6,1336
2117,2118,F,Ship,3,2,135,2,medium,F,2,1150
2937,2938,B,Ship,3,2,213,4,low,M,53,3502
7818,7819,D,Flight,2,2,215,5,medium,M,3,5185
983,984,F,Ship,5,4,133,3,low,M,9,1051
8334,8335,D,Road,6,4,275,4,low,M,10,1005
6487,6488,F,Ship,4,3,242,2,low,M,3,4811
9476,9477,A,Ship,3,3,133,3,low,F,2,4926
2925,2926,B,Ship,3,1,161,3,low,F,57,1918
6571,6572,F,Flight,6,4,266,4,low,M,9,1253
3214,3215,C,Ship,5,2,145,4,medium,F,9,4028
5884,5885,C,Road,3,3,169,3,low,M,10,5147
7828,7829,C,Ship,3,4,221,3,low,M,10,4927
7672,7673,C,Flight,6,5,219,5,low,F,2,1475
8969,8970,F,Ship,2,3,260,2,low,F,1,4547
8376,8377,D,Ship,4,5,248,4,low,F,2,4427
8708,8709,A,Ship,3,3,225,3,medium,F,7,4961
5972,5973,A,Ship,3,3,265,3,medium,F,3,5986
627,628,B,Ship,4,2,190,5,high,F,38,3022
6688,6689,C,Road,3,1,236,6,medium,F,10,4858
4947,4948,B,Flight,4,5,142,3,medium,M,2,5692
5080,5081,C,Flight,5,3,217,2,low,F,4,5588
4244,4245,A,Flight,3,3,204,3,low,M,6,5296
10858,10859,C,Ship,3,1,166,3,medium,M,4,4716
4765,4766,F,Ship,4,4,140,3,low,F,4,5924
1601,1602,F,Ship,4,1,244,3,low,M,59,3073
10565,10566,F,Flight,5,4,135,4,medium,M,4,4541
1269,1270,B,Ship,3,4,154,2,medium,F,43,1542
128,129,A,Road,4,4,200,4,medium,M,16,2060
7485,7486,B,Ship,6,2,219,5,low,F,9,1071
1711,1712,F,Ship,2,5,206,3,low,F,46,2944
4182,4183,D,Ship,6,4,276,6,low,F,8,5037
7853,7854,F,Ship,5,5,243,3,medium,M,3,5700
4235,4236,F,Road,4,5,246,3,low,M,10,4616
6334,6335,C,Ship,2,2,226,3,low,M,5,5875
2398,2399,C,Ship,6,3,195,2,medium,M,21,3869
10067,10068,F,Ship,4,4,259,2,low,M,6,4308
6634,6635,C,Ship,4,4,203,2,low,F,4,4793
7364,7365,A,Ship,4,1,263,2,low,F,5,4010
10382,10383,A,Ship,4,3,207,2,medium,M,5,4286
1186,1187,C,Ship,4,4,135,10,medium,F,57,1361
9579,9580,B,Road,4,5,176,3,high,F,1,5096
10774,10775,C,Ship,4,1,272,5,medium,F,1,1149
7306,7307,C,Ship,3,2,181,3,low,M,4,5966
1977,1978,B,Ship,3,3,147,3,low,M,16,1563
5314,5315,C,Ship,3,5,181,4,high,F,1,4971
10875,10876,B,Ship,3,2,255,3,medium,F,8,4471
4247,4248,F,Flight,3,5,161,3,low,M,2,4475
8740,8741,C,Ship,3,5,168,3,low,M,8,5877
915,916,B,Ship,4,1,258,3,medium,M,3,3928
1305,1306,B,Ship,6,1,193,4,medium,M,8,2952
9259,9260,F,Ship,5,4,136,3,medium,M,4,5413
3049,3050,F,Ship,3,4,271,4,medium,F,16,2693
10481,10482,F,Ship,5,4,263,5,low,M,5,1181
1273,1274,F,Ship,4,5,160,3,medium,M,50,1511
5698,5699,C,Ship,3,4,247,3,low,F,9,4157
8944,8945,C,Ship,4,5,201,3,low,F,1,5898
2796,2797,D,Ship,3,2,145,2,medium,F,29,1690
1398,1399,D,Ship,6,3,213,3,low,M,17,1656
3358,3359,C,Ship,3,4,205,8,medium,M,1,4977
183,184,B,Ship,3,5,162,7,medium,F,16,1052
7559,7560,F,Ship,4,1,268,4,medium,F,2,4543
6939,6940,B,Ship,4,2,224,3,low,M,1,5821
7436,7437,A,Ship,6,1,232,5,high,M,10,4345
6492,6493,D,Ship,6,1,300,5,low,F,10,1787
7497,7498,B,Ship,5,4,231,6,medium,F,3,1075
8353,8354,F,Flight,6,1,272,4,low,F,2,1018
4567,4568,F,Ship,4,2,262,4,low,M,2,5311
8454,8455,D,Ship,2,4,176,3,low,M,1,4509
8935,8936,F,Ship,6,4,279,4,low,F,5,1241
